SampleID	BarcodeID_F	BarcodeID_R	SampleName	copies_ul	Cq
AR-100-140	AF051	AR027	100	0.17	38.07
AR-213-28	AF064	AR027	213	518	30.53
AR-274-56	AF037	AR028	274	13900	30.91
AR-187-84	AF048	AR028	187	57.2	33.8
AR-113-112	AF051	AR028	113	0.04	38.54
AR-213-42	AF064	AR028	213	0.877	40
AR-300-84	AF037	AR042	300	2860	33.38
AR-187-112	AF048	AR042	187	6.38	37.06
AR-113-140	AF051	AR042	113	0.5	37.65
AR-213-56	AF064	AR042	213	949	29.64
AR-024-70	AF037	AR045	24	570	33.48
AR-187-140	AF048	AR045	187	276	31.36
AR-067-42	AF051	AR045	67	0.00000619	33.2
AR-304-28	AF064	AR045	304	27	34.92
AR-306-84	AF037	AR049	306	268	31.51
AR-024-84	AF048	AR049	24	39.4	35.58
AR-067-1	AF051	AR049	67	8.35E-302	37.33
AR-081-168	AF064	AR049	81	123	31.3
Blank	AF037	AR052	Blank	#N/A	#N/A
AR-383-168	AF048	AR052	383	44	35
AR-067-2	AF051	AR052	67	3.09E-236	36.77
AR-160-84	AF064	AR052	160	58	35.1
AR-237-56	AF037	AR059	237	6.35	37.06
AR-213-84	AF048	AR059	213	8	36.8
AR-383-112	AF051	AR059	383	911	29.71
AR-237-70	AF037	AR062	237	21	35.29
AR-288-70	AF048	AR062	288	2068	30.5
AR-179-84	AF051	AR062	179	141	36.69
AR-190-140	AF037	AR087	190	0.877	40
AR-234-112	AF048	AR087	234	53.4	33.9
AR-355-112	AF051	AR087	355	115	36.87
AR-187-28	AF037	AR093	187	5.86	37.18
AR-188-56	AF048	AR093	188	3.1	38.13
AR-355-140	AF051	AR093	355	37	37.73

